id,gene_id,gene_name,cnv_type,gene_strand,gene_description,contig,start,end,frq_An_arabiensis_2015,frq_An_coluzzii_2012,frq_An_coluzzii_2014,frq_An_coluzzii_2015,frq_An_coluzzii_2016,frq_An_coluzzii_2017,frq_An_gambiae_ss_2012,frq_An_gambiae_ss_2014,frq_An_gambiae_ss_2015,frq_An_gambiae_ss_2016,frq_An_gambiae_ss_2017,max_af
1,AGAP000088,CYP4H19,amp,+,cytochrome P450 [Source:VB Community Annotation],X,1456937,1459201,0,0,0.008130081,0.006024096,0,0,0,0.02189781,0,0,0,0.02189781
2,AGAP000088,CYP4H19,del,+,cytochrome P450 [Source:VB Community Annotation],X,1456937,1459201,0,0,0,0,0,0.006289308,0,0,0,0,0,0.006289308
4,AGAP013490,CYP4H24,amp,+,cytochrome P450 [Source:VB Community Annotation],X,1459302,1460959,0,0,0.008130081,0.006024096,0,0,0,0.00729927,0,0,0,0.008130081
5,AGAP013490,CYP4H24,del,+,cytochrome P450 [Source:VB Community Annotation],X,1459302,1460959,0,0.0125,0,0,0,0,0,0,0,0,0,0.0125
6,AGAP000192,CYP4C26,amp,+,cytochrome P450 [Source:VB Community Annotation],X,3173838,3179220,0.209302326,0.0125,0.146341463,0.138554217,0.215189873,0.062893082,0.010309278,0.233576642,0.11627907,0.233009709,0.371428571,0.371428571
7,AGAP000193,CYP4C37,amp,+,cytochrome P450 [Source:VB Community Annotation],X,3181145,3184530,0.023255814,0,0.008130081,0,0,0,0,0,0.007751938,0.009708738,0,0.023255814
8,AGAP000194,CYP4C25,amp,+,cytochrome P450 [Source:VB Community Annotation],X,3190383,3200861,0.11627907,0,0.089430894,0.06626506,0.234177215,0.025157233,0,0.087591241,0.03875969,0.194174757,0.457142857,0.457142857
9,AGAP000284,CYP315A1,amp,-,cytochrome P450 [Source:VB Community Annotation],X,5112021,5114815,0,0,0,0,0,0.006289308,0.010309278,0.01459854,0,0,0,0.01459854
10,AGAP000818,CYP9K1,amp,-,cytochrome P450 [Source:VB Community Annotation],X,15240572,15242864,0.093023256,0.0125,0.170731707,0.084337349,0.120253165,0.062893082,0.948453608,0.875912409,0.852713178,0.815533981,0.942857143,0.948453608
11,AGAP000877,CYP4G17,amp,-,cytochrome P450 [Source:VB Community Annotation],X,16618800,16621269,0.11627907,0,0.146341463,0.090361446,0.221518987,0.056603774,0,0.109489051,0.007751938,0.330097087,0.342857143,0.342857143
